;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;;;;;;;;;;;;;;;;;;;;;;;;
Армения;90,7;111,9;103,4;99,2;87,8;132,0;117,1;95,0;99,0;100,8;80,5;97,8;100,8;113,1;94,4;95,5;;;;;;;;;;;;;;;;;;;;;;;;
Беларусь;115,0;108,0;113,0;135,5;103,8;117,6;170,7;191,1;113,0;119,7;105,2;109,0;113,6;109,2;107,7;107,9;;;;;;;;;;;;;;;;;;;;;;;;
Казахстан;101,4;101,2;120,3;139,4;103,1;93,3;127,6;96,2;115,5;99,1;106,9;107,8;104,7;102,8;114,6;113,9;;;;;;;;;;;;;;;;;;;;;;;;
Кыргызстан;113,5;114,5;123,1;122,6;95,5;99,1;145,0;101,6;105,4;109,1;98,8;94,1;111,4;98,4;97,2;114,2;;;;;;;;;;;;;;;;;;;;;;;;
Россия;109,6;104,3;118,2;126,7;97,1;106,5;118,6;99,5;107,8;107,9;114,1;103,8;97,7;99,2;108,4;100,7;;;;;;;;;;;;;;;;;;;;;;;;
ЕАЭС;109,1;104,7;117,7;128,0;98,1;106,3;125,6;105,5;108,9;107,6;111,6;104,4;100,1;100,6;108,6;103,1;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
